# subtask-1 listing — status: decomposed | in-progress
# generated: 2026-04-18T12:58:40Z
# task: 788-758-subtask-1-status (parent chain: 730-717-status-done-edit)

## Summary
- decomposed: 141
- in-progress: 0

## Files

### 473-469-graphviewcontainer-wheel-pointer-handler.md
  status: decomposed
  source: decomposed
  parent: 506-492-pnpm-build
  depends: none
  summary: subtask

### 514-506-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/514-506-subtask.md
  priority: medium
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 506-492-pnpm-build
  depends: none
  summary: subtask

### 517-501-graphviewcontainer-ts-claude-md.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/517-501-graphviewcontainer-ts-claude-md.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 501-491-
  depends: none
  summary: GraphViewContainer.ts の行数計測と CLAUDE.md 上限判定

### 517-501-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/517-501-subtask.md
  priority: medium
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 501-491-
  depends: none
  summary: subtask

### 518-501-graphviewcontainer-ts-verify.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/518-501-graphviewcontainer-ts-verify.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 501-491-
  depends: none
  summary: GraphViewContainer.ts 行数を計測しverifyコミットを作成

### 519-511-pnpm-build-exit-code.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/519-511-pnpm-build-exit-code.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 511-506-pnpm-build-main-js
  depends: none
  summary: pnpm build 実行と exit code 検証

### 520-511-main-js-build-ok.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/520-511-main-js-build-ok.md
  priority: high
  reported: 2026-04-17
  status: decomposed
  source: decomposed
  parent: 511-506-pnpm-build-main-js
  depends: subtask-1
  summary: main.js のバイト数を BUILD_OK 形式で出力

### 521-502-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/521-502-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 502-491-subtask
  depends: none
  summary: subtask

### 521-517-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/521-517-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 517-501-graphviewcontainer-ts-claude-md
  depends: none
  summary: subtask

### 522-517-graphviewcontainer-ts-claude-md-8597.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/522-517-graphviewcontainer-ts-claude-md-8597.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 517-501-graphviewcontainer-ts-claude-md
  depends: none
  summary: GraphViewContainer.ts の行数計測と CLAUDE.md 上限 8597 との比較・判定

### 523-518-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/523-518-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 518-501-graphviewcontainer-ts-verify
  depends: none
  summary: subtask

### 524-519-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/524-519-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 519-511-pnpm-build-exit-code
  depends: none
  summary: subtask

### 525-520-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/525-520-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 520-511-main-js-build-ok
  depends: none
  summary: subtask

### 526-504-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/526-504-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 504-491-subtask
  depends: none
  summary: subtask

### 527-507-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/527-507-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 507-492-subtask
  depends: none
  summary: subtask

### 528-509-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/528-509-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 509-492-subtask
  depends: none
  summary: subtask

### 529-510-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/529-510-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 510-506-subtask
  depends: none
  summary: subtask

### 530-522-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/530-522-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 522-517-graphviewcontainer-ts-claude-md-8597
  depends: none
  summary: subtask

### 532-514-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/532-514-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 514-506-subtask
  depends: none
  summary: subtask

### 533-517-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/533-517-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 517-501-subtask
  depends: none
  summary: subtask

### 534-521-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/534-521-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 521-502-subtask
  depends: none
  summary: subtask

### 535-521-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/535-521-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 521-517-subtask
  depends: none
  summary: subtask

### 536-523-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/536-523-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 523-518-subtask
  depends: none
  summary: subtask

### 539-526-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/539-526-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 526-504-subtask
  depends: none
  summary: subtask

### 546-533-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/546-533-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 533-517-subtask
  depends: none
  summary: subtask

### 553-536-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/553-536-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 536-523-subtask
  depends: none
  summary: subtask

### 554-536-graphviewcontainer-ts.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/554-536-graphviewcontainer-ts.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 536-523-subtask
  depends: none
  summary: GraphViewContainer.ts の行数を検証し空コミットで記録

### 558-554-graphviewcontainer-ts-verify.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/558-554-graphviewcontainer-ts-verify.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 554-536-graphviewcontainer-ts
  depends: none
  summary: GraphViewContainer.ts の行数を verify し空コミットで記録

### 559-558-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/559-558-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 558-554-graphviewcontainer-ts-verify
  depends: none
  summary: subtask

### 560-558-graphviewcontainer-ts-verify.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/560-558-graphviewcontainer-ts-verify.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 558-554-graphviewcontainer-ts-verify
  depends: none
  summary: GraphViewContainer.ts の行数を verify し空コミットで記録

### 561-559-graphviewcontainer-ts-verify.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/561-559-graphviewcontainer-ts-verify.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 559-558-subtask
  depends: none
  summary: GraphViewContainer.ts 行数 verify + 空コミット記録

### 562-560-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/562-560-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 560-558-graphviewcontainer-ts-verify
  depends: none
  summary: subtask

### 563-560-graphviewcontainer-ts-verify.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/563-560-graphviewcontainer-ts-verify.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 560-558-graphviewcontainer-ts-verify
  depends: none
  summary: GraphViewContainer.ts の行数を verify し空コミットで記録

### 564-561-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/564-561-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 561-559-graphviewcontainer-ts-verify
  depends: none
  summary: subtask

### 565-561-graphviewcontainer-ts-verify-lint-test.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/565-561-graphviewcontainer-ts-verify-lint-test.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 561-559-graphviewcontainer-ts-verify
  depends: none
  summary: GraphViewContainer.ts 行数 verify + lint/test + 空コミット

### 566-562-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/566-562-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 562-560-subtask
  depends: none
  summary: subtask

### 567-562-graphviewcontainer-ts-verify-only.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/567-562-graphviewcontainer-ts-verify-only.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 562-560-subtask
  depends: none
  summary: GraphViewContainer.ts 行数確認と空コミット作成 (verify-only)

### 568-563-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/568-563-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 563-560-graphviewcontainer-ts-verify
  depends: none
  summary: subtask

### 570-564-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/570-564-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 564-561-subtask
  depends: none
  summary: subtask

### 573-565-graphviewcontainer-ts-8597.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/573-565-graphviewcontainer-ts-8597.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 565-561-graphviewcontainer-ts-verify-lint-test
  depends: none
  summary: GraphViewContainer.ts の行数を計測し 8597 以下を確認

### 575-565-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/575-565-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 565-561-graphviewcontainer-ts-verify-lint-test
  depends: none
  summary: subtask

### 577-567-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/577-567-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 567-562-graphviewcontainer-ts-verify-only
  depends: none
  summary: subtask

### 580-568-graphviewcontainer-ts-verify.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/580-568-graphviewcontainer-ts-verify.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 568-563-subtask
  depends: none
  summary: GraphViewContainer.ts の行数を verify し、閾値内であれば空コミットで記録

### 583-573-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/583-573-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 573-565-graphviewcontainer-ts-8597
  depends: none
  summary: subtask

### 585-575-graphviewcontainer-ts-god-object.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/585-575-graphviewcontainer-ts-god-object.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 575-565-subtask
  depends: none
  summary: GraphViewContainer.ts の行数とGod Object上限を検証

### 590-577-graphviewcontainer-ts-8597.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/590-577-graphviewcontainer-ts-8597.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 577-567-subtask
  depends: none
  summary: GraphViewContainer.ts の行数が 8597 上限以下であることを検証

### 592-580-graphviewcontainer-ts-verify.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/592-580-graphviewcontainer-ts-verify.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 580-568-graphviewcontainer-ts-verify
  depends: none
  summary: GraphViewContainer.ts の行数を verify し、閾値内なら空コミットで記録

### 593-585-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/593-585-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 585-575-graphviewcontainer-ts-god-object
  depends: none
  summary: subtask

### 594-585-graphviewcontainer-ts-god-object-8597.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/594-585-graphviewcontainer-ts-god-object-8597.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 585-575-graphviewcontainer-ts-god-object
  depends: none
  summary: GraphViewContainer.ts の行数を計測しGod Object上限8597行以内を検証

### 595-582-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/595-582-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 582-570-graphviewcontainer-ts-verify-only
  depends: none
  summary: subtask

### 596-582-graphviewcontainer-ts-8597.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/596-582-graphviewcontainer-ts-8597.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 582-570-graphviewcontainer-ts-verify-only
  depends: none
  summary: GraphViewContainer.ts の行数が 8597 を超えていないか検証

### 600-590-graphviewcontainer-ts-8597.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/600-590-graphviewcontainer-ts-8597.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 590-577-graphviewcontainer-ts-8597
  depends: none
  summary: GraphViewContainer.ts 行数が 8597 以下であることを検証し空コミット

### 601-594-graphviewcontainer-ts-8597-pass-fail.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/601-594-graphviewcontainer-ts-8597-pass-fail.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 594-585-graphviewcontainer-ts-god-object-8597
  depends: none
  summary: GraphViewContainer.ts の行数を計測し8597行上限と比較してPASS/FAIL判定

### 606-596-issue.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/606-596-issue.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 596-582-graphviewcontainer-ts-8597
  depends: subtask-2
  summary: 違反検出時のみ新規issue作成 (条件付き)

### 607-595-graphviewcontainer-ts-8597.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/607-595-graphviewcontainer-ts-8597.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 595-582-subtask
  depends: none
  summary: GraphViewContainer.ts の行数が 8597 以下か確認

### 607-597-subtask.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/607-597-subtask.md
  priority: medium
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 597-582-pnpm-test-pass
  depends: none
  summary: subtask

### 609-595-graphviewcontainer-ts.md
absolute_path: /home/ubuntu/obsidian-plugins/obsidian-graph-island/.autonomous-worktrees/auto-20260418-214001-571272/scripts/pipeline/tasks/609-595-graphviewcontainer-ts.md
  priority: high
  reported: 2026-04-18
  status: decomposed
  source: decomposed
  parent: 595-582-subtask
  depends: none
  summary: GraphViewContainer.ts 関連のユニットテストを実行

### 610-595-verify-report.md
