id,priority,reported,completed,status,source,parent,depends,superseded_by,summary,attempt_count,description_path,created_at,updated_at
1251-1242-pathfinder-overlay-ts,high,2026-04-25,,cancelled,decomposed,1242-1237-pathfinder-overlay-ts-lint-test,subtask-2,,pathfinder-overlay.ts の行数を確認しコミットする,0,scripts/pipeline/descriptions/1251-1242-pathfinder-overlay-ts.md,2026-04-25T00:41:59+09:00,2026-04-26T08:52:08+09:00
1252-1243-node-decorations-ts-11-todo,high,2026-04-25,,blocked,decomposed,1243-1238-node-decorations-ts-11,none,,node-decorations.ts から 11 個のインライン数値リテラルを特定し TODO コメントとして記録する,0,scripts/pipeline/descriptions/1252-1243-node-decorations-ts-11-todo.md,2026-04-25T00:44:04+09:00,2026-04-26T00:20:02+09:00
1256-147-graphviewcontainer-ts-1-8424,high,2026-04-25,,done,decomposed,147-god-object-violation,none,,GraphViewContainer.ts から小型純粋関数を1つ抽出し 8424 行以下に削減,0,scripts/pipeline/descriptions/1256-147-graphviewcontainer-ts-1-8424.md,2026-04-25T02:02:44+09:00,2026-04-26T00:16:15+09:00
1258-148-managedtimers,high,2026-04-25,,done,decomposed,148-settimeout-leaks,none,,ManagedTimers ユーティリティを新規作成しタイマー追跡機構を提供,0,scripts/pipeline/descriptions/1258-148-managedtimers.md,2026-04-25T02:42:53+09:00,2026-04-26T01:33:10+09:00
1259-148-src-settimeout-managedtimers,high,2026-04-25,,done,decomposed,148-settimeout-leaks,subtask-1,,src/ 内の未クリア setTimeout を特定し ManagedTimers へ移行,0,scripts/pipeline/descriptions/1259-148-src-settimeout-managedtimers.md,2026-04-25T02:42:53+09:00,2026-04-26T01:46:27+09:00
1000-976-subtask,medium,2026-04-19,,done,decomposed,976-943-639-626-subtask-issue-frontmatter-status,none,,subtask,0,scripts/pipeline/descriptions/1000-976-subtask.md,2026-04-19T05:24:51+09:00,2026-04-19T05:24:51+09:00
1001-976-639-626-subtask-issue-status-done,medium,2026-04-19,,done,decomposed,976-943-639-626-subtask-issue-frontmatter-status,none,,639-626 subtask issue ファイルを特定し status を done に置換してコミット,0,scripts/pipeline/descriptions/1001-976-639-626-subtask-issue-status-done.md,2026-04-19T05:29:16+09:00,2026-04-19T05:29:16+09:00
1002-871-subtask,medium,2026-04-19,,done,decomposed,871-747-subtask,none,,subtask,0,scripts/pipeline/descriptions/1002-871-subtask.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1002-978-subtask,medium,2026-04-19,,done,decomposed,978-970-639-626-subtask-issue-frontmatter-status,none,,subtask,0,scripts/pipeline/descriptions/1002-978-subtask.md,2026-04-19T05:33:50+09:00,2026-04-19T05:33:49+09:00
1003-871-graphviewcontainer-snapshot,high,2026-04-19,,done,decomposed,871-747-subtask,none,,GraphViewContainer から snapshot ロジックを独立ファイルに抽出,0,scripts/pipeline/descriptions/1003-871-graphviewcontainer-snapshot.md,2026-04-19T05:26:32+09:00,2026-04-19T05:26:32+09:00
1003-978-639-626-subtask-issue-frontmatter-status,medium,2026-04-19,,done,decomposed,978-970-639-626-subtask-issue-frontmatter-status,none,,639-626 subtask issue の frontmatter status を done に更新して1コミット作成,0,scripts/pipeline/descriptions/1003-978-639-626-subtask-issue-frontmatter-status.md,2026-04-19T05:34:49+09:00,2026-04-19T05:34:49+09:00
1004-871-graphviewcontainer-export-svg-png-json-o,high,2026-04-19,,done,decomposed,871-747-subtask,subtask-1,,GraphViewContainer から export(SVG/PNG/JSON) orchestration を抽出,0,scripts/pipeline/descriptions/1004-871-graphviewcontainer-export-svg-png-json-o.md,2026-04-19T05:29:23+09:00,2026-04-19T05:29:23+09:00
1005-871-graphviewcontainer-filter-orchestration,high,2026-04-19,,done,decomposed,871-747-subtask,subtask-2,,GraphViewContainer から filter orchestration を抽出,0,scripts/pipeline/descriptions/1005-871-graphviewcontainer-filter-orchestration.md,2026-04-19T05:28:41+09:00,2026-04-19T05:28:41+09:00
1006-871-claude-md-graphviewcontainer-ts-max-allo,medium,2026-04-19,,done,decomposed,871-747-subtask,subtask-3,,CLAUDE.md の GraphViewContainer.ts Max Allowed を最終値に確定,0,scripts/pipeline/descriptions/1006-871-claude-md-graphviewcontainer-ts-max-allo.md,2026-04-19T05:35:04+09:00,2026-04-19T05:35:04+09:00
1007-873-subtask,medium,2026-04-19,,done,decomposed,873-749-subtask,none,,subtask,0,scripts/pipeline/descriptions/1007-873-subtask.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1008-873-god-object-4-claude-md-max-allowed-ratch,medium,2026-04-19,,done,decomposed,873-749-subtask,none,,God Object 4ファイルを実測し CLAUDE.md の Max Allowed をratchet down,0,scripts/pipeline/descriptions/1008-873-god-object-4-claude-md-max-allowed-ratch.md,2026-04-19T05:38:59+09:00,2026-04-19T05:38:59+09:00
1009-988-subtask,medium,2026-04-19,,done,decomposed,988-928-639-626-subtask-issue-pending-done-git-m,none,,subtask,0,scripts/pipeline/descriptions/1009-988-subtask.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1010-988-639-626-subtask-issue-pending-done-git-m,medium,2026-04-19,,done,decomposed,988-928-639-626-subtask-issue-pending-done-git-m,none,,639-626 subtask issue を pending→done へ原子的に git mv + status 書換 + 単一コミット,0,scripts/pipeline/descriptions/1010-988-639-626-subtask-issue-pending-done-git-m.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1011-990-subtask,medium,2026-04-19,,done,decomposed,990-866-issue-pending-done-git-mv-status-done,none,,subtask,0,scripts/pipeline/descriptions/1011-990-subtask.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1012-990-752-712-639-626-subtask-issue-pending-do,medium,2026-04-19,,done,decomposed,990-866-issue-pending-done-git-mv-status-done,none,,752-712-639-626-subtask issue を pending→done へ git mv + status:done 化 + 1コミット,0,scripts/pipeline/descriptions/1012-990-752-712-639-626-subtask-issue-pending-do.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1013-992-subtask,medium,2026-04-19,,done,decomposed,992-971-subtask,none,,subtask,0,scripts/pipeline/descriptions/1013-992-subtask.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1014-992-issues-pending-639-626-subtask-md-status,medium,2026-04-19,,done,decomposed,992-971-subtask,none,,issues/pending/*639-626*subtask*.md の status を done に置換,0,scripts/pipeline/descriptions/1014-992-issues-pending-639-626-subtask-md-status.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1015-994-subtask,medium,2026-04-19,,done,decomposed,994-972-639-626-subtask-issue-pending-done-git-m,none,,subtask,0,scripts/pipeline/descriptions/1015-994-subtask.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1016-994-639-626-subtask-issue-pending-done-git-m,medium,2026-04-19,,done,decomposed,994-972-639-626-subtask-issue-pending-done-git-m,none,,639-626 subtask issue を pending→done に git mv + status 書換 + 単一コミット,0,scripts/pipeline/descriptions/1016-994-639-626-subtask-issue-pending-done-git-m.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1017-995-subtask,medium,2026-04-19,,done,decomposed,995-973-639-626-subtask-issue-1-pending-done-git,none,,subtask,0,scripts/pipeline/descriptions/1017-995-subtask.md,2026-04-19T09:05:21+09:00,2026-04-19T09:06:54+09:00
1018-995-639-626-subtask-1-pending-done-git-mv-st,medium,2026-04-19,,done,decomposed,995-973-639-626-subtask-issue-1-pending-done-git,none,,639-626 subtask 1件を pending→done へ git mv + status:done 書換 + 単一コミット,0,scripts/pipeline/descriptions/1018-995-639-626-subtask-1-pending-done-git-mv-st.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1019-1007-god-object-4-claude-md-max-allowed,medium,2026-04-19,,done,decomposed,1007-873-subtask,none,,God Object 4ファイル行数測定 → CLAUDE.md Max Allowed 更新 → 原子的コミット,0,scripts/pipeline/descriptions/1019-1007-god-object-4-claude-md-max-allowed.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1020-1013-subtask,medium,2026-04-19,,done,decomposed,1013-992-subtask,none,,subtask,0,scripts/pipeline/descriptions/1020-1013-subtask.md,2026-04-19T09:12:22+09:00,2026-04-19T09:12:15+09:00
1021-1013-issue-992-971-subtask-status-done,medium,2026-04-19,,done,decomposed,1013-992-subtask,none,,親 issue 992-971-subtask のフロントマター status を done に更新,0,scripts/pipeline/descriptions/1021-1013-issue-992-971-subtask-status-done.md,2026-04-19T07:23:06+09:00,2026-04-25T22:47:31+09:00
1022-1009-issue-status-done-pending-done-git-mv,medium,2026-04-19,,done,decomposed,1009-988-subtask,none,,issue の status を done に更新し pending→done へ git mv,0,scripts/pipeline/descriptions/1022-1009-issue-status-done-pending-done-git-mv.md,2026-04-19T07:31:46+09:00,2026-04-19T07:31:46+09:00
1022-1015-subtask,medium,2026-04-19,,done,decomposed,1015-994-subtask,none,,subtask,0,scripts/pipeline/descriptions/1022-1015-subtask.md,2026-04-19T07:26:51+09:00,2026-04-19T07:26:51+09:00
1023-1015-pending-done-git-mv-frontmatter-status,medium,2026-04-19,,done,decomposed,1015-994-subtask,none,,pending → done への git mv と frontmatter status 更新を単一コミットで実施,0,scripts/pipeline/descriptions/1023-1015-pending-done-git-mv-frontmatter-status.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1024-1010-subtask,medium,2026-04-19,,done,decomposed,1010-988-639-626-subtask-issue-pending-done-git-m,none,,subtask,0,scripts/pipeline/descriptions/1024-1010-subtask.md,2026-04-19T07:32:12+09:00,2026-04-19T07:32:11+09:00
1025-1010-639-626-subtask-issue-pending-done-git-m,medium,2026-04-19,,done,decomposed,1010-988-639-626-subtask-issue-pending-done-git-m,none,,639-626 subtask issue を pending→done へ原子的に移動（git mv + status書換 + 単一コミット）,0,scripts/pipeline/descriptions/1025-1010-639-626-subtask-issue-pending-done-git-m.md,2026-04-19T07:34:59+09:00,2026-04-19T07:34:59+09:00
1026-1014-639-626-subtask-status-done,medium,2026-04-19,,done,decomposed,1014-992-issues-pending-639-626-subtask-md-status,none,,639-626 subtask ファイルの status を done に置換,0,scripts/pipeline/descriptions/1026-1014-639-626-subtask-status-done.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1027-1002-graphviewcontainer-ts,high,2026-04-19,,done,decomposed,1002-871-subtask,none,,GraphViewContainer.ts の抽出対象メソッドを調査してマップ化,0,scripts/pipeline/descriptions/1027-1002-graphviewcontainer-ts.md,2026-04-19T07:19:39+09:00,2026-04-19T07:19:39+09:00
1028-1002-subtask,medium,2026-04-19,,done,decomposed,1002-871-subtask,none,,subtask,0,scripts/pipeline/descriptions/1028-1002-subtask.md,2026-04-19T07:42:57+09:00,2026-04-19T07:42:57+09:00
1029-1002-subtask,medium,2026-04-19,,done,decomposed,1002-871-subtask,none,,subtask,0,scripts/pipeline/descriptions/1029-1002-subtask.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1030-1011-subtask,medium,2026-04-19,,done,decomposed,1011-990-subtask,none,,subtask,0,scripts/pipeline/descriptions/1030-1011-subtask.md,2026-04-19T07:39:47+09:00,2026-04-19T07:39:47+09:00
1031-1011-git-mv-frontmatter-status-1,medium,2026-04-19,,done,decomposed,1011-990-subtask,none,,git mv + frontmatter status更新 + 1コミット,0,scripts/pipeline/descriptions/1031-1011-git-mv-frontmatter-status-1.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1032-1012-752-712-639-626-subtask-issue-pending-do,medium,2026-04-19,,done,decomposed,1012-990-752-712-639-626-subtask-issue-pending-do,none,,752-712-639-626-subtask issue を pending→done へ git mv + status:done 化 + 1コミット,0,scripts/pipeline/descriptions/1032-1012-752-712-639-626-subtask-issue-pending-do.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1033-1016-639-626-subtask-issue-pending-done,medium,2026-04-19,,done,decomposed,1016-994-639-626-subtask-issue-pending-done-git-m,none,,639-626 subtask issue を pending→done に移動し単一コミット,0,scripts/pipeline/descriptions/1033-1016-639-626-subtask-issue-pending-done.md,2026-04-19T07:44:28+09:00,2026-04-19T07:44:28+09:00
1034-1017-subtask,medium,2026-04-19,,done,decomposed,1017-995-subtask,none,,subtask,0,scripts/pipeline/descriptions/1034-1017-subtask.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1035-1017-pending-done-issue-1,medium,2026-04-19,,done,decomposed,1017-995-subtask,none,,pending→done へのissue移動を1タスクで実行,0,scripts/pipeline/descriptions/1035-1017-pending-done-issue-1.md,2026-04-19T07:50:30+09:00,2026-04-19T07:50:29+09:00
1036-1014-subtask,medium,2026-04-19,,done,decomposed,1014-992-issues-pending-639-626-subtask-md-status,none,,subtask,0,scripts/pipeline/descriptions/1036-1014-subtask.md,2026-04-19T07:54:17+09:00,2026-04-19T07:54:17+09:00
1037-1014-639-626-subtask-1-frontmatter-status-don,medium,2026-04-19,,done,decomposed,1014-992-issues-pending-639-626-subtask-md-status,none,,639-626 subtask 対象ファイル 1 件の frontmatter status を done に置換,0,scripts/pipeline/descriptions/1037-1014-639-626-subtask-1-frontmatter-status-don.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1037-1021-issues-992-971-subtask-md-status-done,medium,2026-04-19,,done,decomposed,1021-1013-issue-992-971-subtask-status-done,none,,issues/992-971-subtask.md の status を done に更新,0,scripts/pipeline/descriptions/1037-1021-issues-992-971-subtask-md-status-done.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1038-1023-issue-1015-994-subtask-pending,medium,2026-04-19,,done,decomposed,1023-1015-pending-done-git-mv-frontmatter-status,none,,親issue 1015-994-subtask が参照する対象pendingファイルを特定,0,scripts/pipeline/descriptions/1038-1023-issue-1015-994-subtask-pending.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1039-1023-issue-pending-done-git-mv-status-done,medium,2026-04-19,,done,decomposed,1023-1015-pending-done-git-mv-frontmatter-status,subtask-1,,対象issueを pending → done へ git mv し status を done に更新して単一コミット,0,scripts/pipeline/descriptions/1039-1023-issue-pending-done-git-mv-status-done.md,2026-04-19T08:14:23+09:00,2026-04-19T08:14:23+09:00
1040-1023-subtask-1022-1009-issue-done-status,medium,2026-04-19,,done,decomposed,1023-1015-pending-done-git-mv-frontmatter-status,subtask-2,,この subtask 自身 (1022-1009-issue-...) を done へ移動して status 更新しコミット,0,scripts/pipeline/descriptions/1040-1023-subtask-1022-1009-issue-done-status.md,2026-04-19T08:09:16+09:00,2026-04-19T08:09:15+09:00
1042-1026-639-626-subtask-status-in-progress-done,medium,2026-04-19,,done,decomposed,1026-1014-639-626-subtask-status-done,none,,639-626 subtask ファイルの status を in-progress → done に置換,0,scripts/pipeline/descriptions/1042-1026-639-626-subtask-status-in-progress-done.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1043-1018-subtask,medium,2026-04-19,,done,decomposed,1018-995-639-626-subtask-1-pending-done-git-mv-st,none,,subtask,0,scripts/pipeline/descriptions/1043-1018-subtask.md,2026-04-19T08:16:34+09:00,2026-04-19T08:23:12+09:00
1044-1018-639-626-subtask-1-pending-done-git-mv-st,medium,2026-04-19,,done,decomposed,1018-995-639-626-subtask-1-pending-done-git-mv-st,none,,639-626 subtask 1件を pending→done へ git mv + status 書換 + 単一コミット,0,scripts/pipeline/descriptions/1044-1018-639-626-subtask-1-pending-done-git-mv-st.md,2026-04-19T09:12:22+09:00,2026-04-25T22:47:31+09:00
1045-1019-subtask,medium,2026-04-19,,done,decomposed,1019-1007-god-object-4-claude-md-max-allowed,none,,subtask,0,scripts/pipeline/descriptions/1045-1019-subtask.md,2026-04-19T08:12:24+09:00,2026-04-19T08:12:24+09:00
